product_name,brand,category,usage_frequency,price_usd,rating,number_of_reviews,product_size,skin_type,gender_target,packaging_type,main_ingredient,cruelty_free,country_of_origin,kategori_harga,rating_score,price_score,review_score,dss_score
ultra face mask,drunk elephant,face mask,weekly,67.85,1.4,686,30ml,sensitive,female,tube,retinol,False,australia,sedang,0.27999999999999997,0.5867561968712052,0.06373140329714516,0.32877313972079053
ultra lipstick,laura mercier,lipstick,occasional,116.43,4.2,5483,250ml,dry,unisex,bottle,shea butter,False,uk,mahal,0.8400000000000001,0.2397314093863847,0.5459388821873743,0.6011071992533903
ultra serum,natasha denona,serum,daily,90.84,1.6,5039,100ml,sensitive,male,compact,aloe vera,True,italy,sedang,0.32,0.42253018072719484,0.5013067953357458,0.3870204132853076
divine serum,ilia beauty,serum,occasional,55.17,3.2,6202,250ml,normal,male,tube,glycerin,True,south korea,sedang,0.64,0.6773340952925209,0.6182147165259348,0.6468431718929433
super foundation,charlotte tilbury,foundation,occasional,140.56,1.7,297,100ml,oily,female,compact,glycerin,False,germany,mahal,0.33999999999999997,0.06736195442531612,0.024628065942903097,0.19513419951617544
super eye shadow,danessa myricks,eyeshadow,weekly,135.82,3.2,9405,150ml,sensitive,female,compact,glycerin,True,uk,mahal,0.64,0.1012215158225589,0.9401889827100924,0.5384042512887862
super lip gloss,bourjois,lip gloss,monthly,148.99,2.5,2423,250ml,normal,female,jar,hyaluronic acid,True,germany,mahal,0.5,0.007143367383384502,0.2383393646964214,0.2998108831542996
ultra cleanser,bourjois,cleanser,daily,21.43,4.3,8032,200ml,sensitive,male,bottle,vitamin c,True,italy,murah,0.86,0.9183513108079149,0.8021712907117008,0.8659396513847146
magic highlighter,it cosmetics,highlighter,occasional,113.09,3.3,2468,200ml,combination,unisex,compact,vitamin c,True,germany,mahal,0.6599999999999999,0.26359025644688905,0.2428628870124648,0.4576496543365597
perfect bronzer,fenty beauty,bronzer,weekly,133.57,4.4,4127,150ml,dry,female,compact,hyaluronic acid,False,japan,mahal,0.8800000000000001,0.11729409243517408,0.4096300763972658,0.5571142430100054
ultra moisturizer,sisley,moisturizer,weekly,104.91,4.0,8876,100ml,combination,female,bottle,retinol,True,uk,mahal,0.8,0.3220230016429746,0.8870124648170487,0.6740093934563022
divine cc cream,juvia’s place,cc cream,daily,101.88,4.7,7196,50ml,oily,male,bottle,retinol,False,italy,mahal,0.9400000000000001,0.34366740481462965,0.7181342983514274,0.7167270811146744
ultra setting spray,nars,setting spray,occasional,34.2,1.9,4799,150ml,oily,unisex,bottle,vitamin c,False,australia,murah,0.38,0.8271305093220944,0.4771813429835143,0.5335754213933311
divine primer,colourpop,primer,occasional,96.0,2.2,3557,150ml,normal,male,spray,salicylic acid,True,germany,sedang,0.44000000000000006,0.3856704050289307,0.3523321270607157,0.4061675469208224
divine exfoliator,huda beauty,exfoliator,monthly,26.21,4.9,4167,200ml,sensitive,unisex,bottle,shea butter,True,usa,murah,0.9800000000000001,0.8842060147153368,0.4136509851226377,0.8379920014391287
perfect blush,tatcha,blush,daily,104.06,3.2,2802,250ml,dry,unisex,compact,shea butter,False,uk,mahal,0.64,0.32809486391885134,0.27643747486932047,0.4737159541495195
perfect highlighter,kiehl’s,highlighter,occasional,131.95,4.0,4860,150ml,combination,female,stick,salicylic acid,False,usa,mahal,0.8,0.12886634759625704,0.48331322878970645,0.5353225500368184
super cleanser,huda beauty,cleanser,monthly,90.45,1.5,9690,150ml,sensitive,unisex,tube,salicylic acid,True,south korea,sedang,0.3,0.4253160940067148,0.9688379573783675,0.47136241967768794
ultra face oil,tarte,face oil,weekly,65.13,2.9,2612,250ml,sensitive,male,bottle,hyaluronic acid,False,australia,sedang,0.58,0.6061861561540111,0.25733815842380375,0.5233234785309641
divine lip gloss,glossier,lip gloss,occasional,55.14,3.8,9593,150ml,sensitive,male,stick,salicylic acid,False,france,sedang,0.76,0.6775483963140225,0.9590872537193406,0.7750819696380749
perfect blush,make up for ever,blush,monthly,35.33,3.4,4230,150ml,normal,unisex,jar,salicylic acid,False,south korea,murah,0.6799999999999999,0.8190585041788699,0.4199839163650985,0.6697143345266807
divine foundation,anastasia beverly hills,foundation,daily,145.37,2.3,6045,50ml,combination,male,jar,retinol,True,france,mahal,0.45999999999999996,0.033002357311236574,0.60243264977885,0.36038723714914095
divine cleanser,fenty beauty,cleanser,monthly,119.26,4.6,9425,100ml,sensitive,male,compact,hyaluronic acid,False,japan,mahal,0.9199999999999999,0.2195156796914065,0.9421994370727784,0.7142945913219776
perfect eyeliner,e.l.f.,eyeliner,occasional,148.69,3.7,59,150ml,combination,unisex,jar,retinol,True,australia,mahal,0.74,0.009286377598400009,0.0007036590269400884,0.372926645084908
super serum,hourglass,serum,weekly,96.3,3.2,7512,250ml,normal,male,jar,shea butter,True,australia,sedang,0.64,0.3835273948139153,0.7498994772818657,0.5850381139005477
divine setting spray,pat mcgrath labs,setting spray,daily,105.54,4.9,1098,150ml,dry,female,spray,glycerin,False,japan,mahal,0.9800000000000001,0.31752268019144225,0.10514676316847607,0.606286156691128
magic eye shadow,laura mercier,eyeshadow,occasional,34.06,3.0,4490,50ml,oily,unisex,stick,vitamin c,False,japan,murah,0.6,0.8281305807557683,0.4461198230800161,0.6376631388427337
ultra exfoliator,too faced,exfoliator,monthly,62.56,2.3,3254,30ml,combination,female,bottle,retinol,False,france,sedang,0.45999999999999996,0.6245446103293093,0.3218737434660233,0.4817381317919974
magic lip liner,perricone md,lipstick,daily,120.23,1.6,3813,50ml,oily,male,compact,vitamin c,False,germany,mahal,0.32,0.21258661332952355,0.3780659429030961,0.2993891725794763
super makeup remover,rms beauty,makeup remover,monthly,62.98,3.3,1926,200ml,dry,female,spray,glycerin,True,uk,sedang,0.6599999999999999,0.6215443960282878,0.18837957378367512,0.5541392335652213
perfect bb cream,sisley,bb cream,weekly,74.95,1.9,1270,250ml,dry,unisex,stick,salicylic acid,True,france,sedang,0.38,0.536038288449175,0.1224366706875754,0.37529882067226755
magic bb cream,juvia’s place,bb cream,occasional,46.66,4.6,5398,200ml,sensitive,male,spray,glycerin,False,italy,murah,0.9199999999999999,0.7381241517251232,0.537394451145959,0.7889161357467287
super lip liner,colourpop,lipstick,monthly,27.45,1.2,9692,50ml,oily,female,bottle,glycerin,True,australia,murah,0.24,0.87534823915994,0.9690390028146361,0.5764122723109092
ultra lip gloss,urban decay,lip gloss,daily,134.54,1.0,4973,100ml,dry,female,spray,hyaluronic acid,False,france,mahal,0.2,0.11036502607329102,0.4946722959388822,0.23204396700976374
super primer,rare beauty,primer,weekly,111.7,1.7,9892,150ml,combination,unisex,compact,retinol,True,usa,mahal,0.33999999999999997,0.2735195371097936,0.9891435464414958,0.4498845704212372
super cleanser,fenty beauty,cleanser,monthly,148.76,2.3,4487,30ml,sensitive,unisex,spray,vitamin c,False,usa,mahal,0.45999999999999996,0.008786341881563131,0.44581825492561317,0.32179955354959155
divine eyeliner,fenty beauty,eyeliner,occasional,74.51,4.6,4884,30ml,oily,male,stick,glycerin,False,south korea,sedang,0.9199999999999999,0.539181370097864,0.4857257740249296,0.7188995658343451
super contour,becca,contour,monthly,63.79,2.0,7155,30ml,dry,female,jar,vitamin c,True,france,sedang,0.4,0.6157582684477463,0.7140128669079212,0.5275300539159082
perfect eyeliner,patrick ta,eyeliner,daily,135.46,4.0,5148,250ml,dry,female,bottle,shea butter,False,usa,mahal,0.8,0.10379312808057717,0.5122637716123843,0.53359069274665
divine cleanser,shiseido,cleanser,weekly,74.45,4.0,69,30ml,oily,female,spray,shea butter,False,australia,sedang,0.8,0.5396099721408671,0.001708886208283072,0.5622247688839168
super foundation,rare beauty,foundation,monthly,25.46,2.8,6843,150ml,dry,male,compact,hyaluronic acid,False,south korea,murah,0.5599999999999999,0.8895635402528752,0.6826497788500201,0.6833990178458665
magic makeup remover,kylie cosmetics,makeup remover,occasional,58.41,1.4,4149,200ml,oily,unisex,jar,salicylic acid,False,uk,sedang,0.27999999999999997,0.6541895849703551,0.41184157619622036,0.4186251907303506
perfect face mask,rms beauty,face mask,weekly,142.53,2.5,734,100ml,oily,unisex,compact,glycerin,False,france,mahal,0.5,0.05328952068004866,0.06855649376759147,0.27969815495753286
perfect contour,pat mcgrath labs,contour,occasional,99.2,3.1,4405,30ml,oily,male,tube,aloe vera,True,japan,sedang,0.62,0.3628116294021002,0.43757539203860074,0.5063585672283502
divine cc cream,fenty beauty,cc cream,occasional,132.98,1.4,7747,30ml,dry,unisex,jar,glycerin,True,south korea,mahal,0.27999999999999997,0.12150867919137098,0.7735223160434258,0.3311570669660965
perfect lip liner,bite beauty,lipstick,weekly,72.88,1.1,3358,30ml,sensitive,female,compact,shea butter,False,australia,sedang,0.22000000000000003,0.550825058932781,0.3323281061519904,0.34171313891023236
ultra moisturizer,hourglass,moisturizer,daily,79.42,4.7,3975,100ml,dry,female,bottle,shea butter,False,france,sedang,0.9400000000000001,0.5041074362454461,0.39435062324085246,0.7001023555218044
magic setting spray,drunk elephant,setting spray,daily,70.15,3.0,786,200ml,dry,unisex,tube,shea butter,True,japan,sedang,0.6,0.5703264518894207,0.07378367511057499,0.4858546705889412
magic cc cream,urban decay,cc cream,weekly,111.62,4.9,2705,50ml,normal,male,compact,retinol,False,south korea,mahal,0.9800000000000001,0.27409100650046436,0.26668677121029355,0.6255646561921981
divine setting spray,laura mercier,setting spray,monthly,45.83,2.1,6947,50ml,oily,female,jar,salicylic acid,False,japan,murah,0.42000000000000004,0.7440531466533324,0.6931041415359871,0.5718367723031972
super exfoliator,hourglass,exfoliator,occasional,19.74,1.3,5980,150ml,normal,unisex,spray,salicylic acid,False,south korea,murah,0.26,0.9304236016858347,0.5958986731001207,0.5283068151257746
perfect eye shadow,laura mercier,eyeshadow,weekly,112.67,3.3,1492,200ml,dry,unisex,spray,aloe vera,True,germany,mahal,0.6599999999999999,0.26659047074791065,0.14475271411338964,0.43892768404705107
super highlighter,tarte,highlighter,occasional,148.7,3.5,5380,100ml,normal,unisex,stick,retinol,False,australia,mahal,0.7,0.009214943924566232,0.5355850422195416,0.45988149162127817
ultra serum,anastasia beverly hills,serum,occasional,49.32,2.5,3274,250ml,dry,female,bottle,salicylic acid,True,australia,murah,0.5,0.7191227944853205,0.3238841978287093,0.530513677911338
ultra cleanser,laura mercier,cleanser,weekly,42.84,1.1,4441,50ml,sensitive,male,jar,vitamin c,True,south korea,murah,0.22000000000000003,0.7654118151296521,0.4411942098914355,0.4278623865171828
perfect serum,e.l.f.,serum,occasional,133.56,1.3,7450,200ml,normal,male,spray,glycerin,False,australia,mahal,0.26,0.11736552610900786,0.7436670687575392,0.3139430715842102
divine cleanser,becca,cleanser,occasional,49.67,1.9,8956,30ml,oily,female,jar,hyaluronic acid,False,germany,murah,0.38,0.7166226159011357,0.8950542822677925,0.5839976412238992
divine primer,tarte,primer,occasional,31.81,3.1,6868,100ml,sensitive,male,compact,shea butter,False,japan,murah,0.62,0.8442031573683835,0.6851628468033776,0.7002935165711905
